Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Bought Condition,Price,Registered state
Honda,CR-V,2003.0,Brown,Nigerian Used,122871.0,2000.0,Imported,1458000.0,unknown
Acura,MDX,2008.0,Black,Nigerian Used,356275.0,3700.0,Imported,3394687.0,lagos
Peugeot,307,2003.0,Silver,Nigerian Used,217534.0,1600.0,Registered,1687500.0,lagos
Nissan,Sentra,2004.0,Green,Nigerian Used,290538.0,1800.0,Registered,1125000.0,lagos
Kia,Forte,2012.0,Gray,Foreign Used,190301.0,2000.0,Imported,4275000.0,unknown
Kia,Cerato,2013.0,Gray,Nigerian Used,120725.0,1600.0,Brand new,3375000.0,lagos
Hyundai,Grandeur,2008.0,Black,Nigerian Used,295245.0,2700.0,Imported,3375000.0,rivers
Honda,CR-V,2013.0,Black,Nigerian Used,92698.0,2400.0,Brand new,7537500.0,lagos
Toyota,Sienna,2006.0,Red,Foreign Used,353906.0,3300.0,Imported,6075000.0,unknown
Toyota,Matrix,2005.0,Blue,Nigerian Used,155314.0,1800.0,Imported,3037500.0,lagos
Hyundai,Ix35,2011.0,Black,Nigerian Used,113565.0,2000.0,Registered,3375000.0,lagos
Honda,Accord,2004.0,Gray,Nigerian Used,178262.0,3000.0,Registered,1386562.0,lagos
Toyota,Corolla,2008.0,Silver,Nigerian Used,187115.0,1800.0,Brand new,2677500.0,unknown
Acura,TL,2012.0,Purple,Nigerian Used,145605.0,3700.0,Imported,5400000.0,lagos
Honda,Pilot,2004.0,Black,Nigerian Used,268854.0,3500.0,Imported,1462500.0,lagos
Honda,Civic,2006.0,Black,Foreign Used,141008.0,1800.0,Imported,6412500.0,unknown
Toyota,Avalon,2006.0,Red,Nigerian Used,416864.0,3500.0,Imported,2452500.0,unknown
Ford,Edge,2009.0,Blue,Nigerian Used,156673.0,3500.0,Imported,2724750.0,unknown
Toyota,Camry,2007.0,Silver,Nigerian Used,321459.0,2500.0,Registered,2700000.0,lagos
Toyota,Corolla,2003.0,Red,Nigerian Used,329177.0,1800.0,Imported,3656250.0,lagos
Ford,Edge,2008.0,Red,Nigerian Used,175142.0,3500.0,Registered,2475000.0,abuja
Toyota,Highlander,2003.0,Gold,Foreign Used,276266.0,3000.0,Imported,4050000.0,unknown
Toyota,Sienna,2009.0,Gold,Nigerian Used,315529.0,3500.0,Imported,2587500.0,lagos
Toyota,Corolla,2010.0,Black,Nigerian Used,186914.0,1800.0,Registered,3375000.0,lagos
Kia,Mohave,2014.0,Brown,Nigerian Used,51008.0,3800.0,Brand new,7875000.0,lagos
Toyota,RAV4,2008.0,Black,Nigerian Used,144235.0,2400.0,Imported,4275000.0,lagos
Toyota,Highlander,2005.0,Silver,Nigerian Used,169582.0,3500.0,Registered,3150000.0,lagos
Lexus,ES,2003.0,Silver,Foreign Used,234036.0,3000.0,Imported,3712500.0,unknown
Toyota,Matrix,2003.0,Silver,Nigerian Used,154120.0,1800.0,Registered,2812500.0,unknown
Toyota,RAV4,2007.0,Gold,Nigerian Used,182547.0,3500.0,Registered,3937500.0,lagos
Toyota,Highlander,2003.0,Black,Nigerian Used,154632.0,3000.0,Imported,2587500.0,unknown
Toyota,Camry,2010.0,Gray,Nigerian Used,102401.0,2500.0,Registered,3937500.0,abuja
Toyota,Corolla,2008.0,Gold,Nigerian Used,262750.0,1800.0,Imported,3150000.0,lagos
Honda,Accord,2017.0,Black,Foreign Used,91264.0,2400.0,Imported,11812500.0,unknown
Lexus,ES,2004.0,Black,Nigerian Used,397177.0,3300.0,Imported,2475000.0,unknown
Mazda,CX-7,2008.0,Black,Nigerian Used,263288.0,2300.0,Registered,6187500.0,lagos
Toyota,Camry,2003.0,Silver,Nigerian Used,414009.0,3000.0,Registered,2025000.0,lagos
Toyota,Sienna,2007.0,Gray,Nigerian Used,242657.0,3500.0,Imported,3322125.0,lagos
Lexus,GS,2006.0,White,Nigerian Used,150958.0,3000.0,Registered,2953125.0,unknown
